dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1876-10-01,14.245,1.528,Antofagasta,Chile,23.31S,70.78W
1876-11-01,14.931,2.0909999999999997,Antofagasta,Chile,23.31S,70.78W
1876-12-01,16.622,1.975,Antofagasta,Chile,23.31S,70.78W
1877-01-01,19.464000000000002,1.433,Antofagasta,Chile,23.31S,70.78W
1877-02-01,19.34,2.246,Antofagasta,Chile,23.31S,70.78W
1877-03-01,19.629,1.3530000000000002,Antofagasta,Chile,23.31S,70.78W
1877-04-01,16.910999999999998,1.506,Antofagasta,Chile,23.31S,70.78W
1877-05-01,15.265,1.421,Antofagasta,Chile,23.31S,70.78W
1877-06-01,15.282,1.9269999999999998,Antofagasta,Chile,23.31S,70.78W
1877-07-01,16.034000000000002,1.581,Antofagasta,Chile,23.31S,70.78W
1877-08-01,14.618,1.568,Antofagasta,Chile,23.31S,70.78W
1877-09-01,14.361,1.41,Antofagasta,Chile,23.31S,70.78W
1877-10-01,15.249,1.348,Antofagasta,Chile,23.31S,70.78W
1877-11-01,14.581,1.788,Antofagasta,Chile,23.31S,70.78W
1877-12-01,15.879,1.7690000000000001,Antofagasta,Chile,23.31S,70.78W
1878-01-01,17.377,1.73,Antofagasta,Chile,23.31S,70.78W
1878-02-01,18.784000000000002,1.291,Antofagasta,Chile,23.31S,70.78W
1878-03-01,19.125,1.198,Antofagasta,Chile,23.31S,70.78W
1878-04-01,17.102,1.3130000000000002,Antofagasta,Chile,23.31S,70.78W
1878-05-01,14.606,2.235,Antofagasta,Chile,23.31S,70.78W
1878-06-01,14.745,1.795,Antofagasta,Chile,23.31S,70.78W
1878-07-01,15.327,2.4330000000000003,Antofagasta,Chile,23.31S,70.78W
1878-08-01,13.695,1.452,Antofagasta,Chile,23.31S,70.78W
1878-09-01,13.538,1.348,Antofagasta,Chile,23.31S,70.78W
1878-10-01,14.200999999999999,1.189,Antofagasta,Chile,23.31S,70.78W
1878-11-01,15.243,1.504,Antofagasta,Chile,23.31S,70.78W
1878-12-01,16.329,1.39,Antofagasta,Chile,23.31S,70.78W
1879-01-01,17.27,1.391,Antofagasta,Chile,23.31S,70.78W
1879-02-01,18.887,1.34,Antofagasta,Chile,23.31S,70.78W
1879-03-01,18.207,1.42,Antofagasta,Chile,23.31S,70.78W
1879-04-01,16.139,1.548,Antofagasta,Chile,23.31S,70.78W
1879-05-01,14.835999999999999,1.768,Antofagasta,Chile,23.31S,70.78W
1879-06-01,14.492,1.3090000000000002,Antofagasta,Chile,23.31S,70.78W
1879-07-01,15.227,1.499,Antofagasta,Chile,23.31S,70.78W
1879-08-01,12.664000000000001,2.17,Antofagasta,Chile,23.31S,70.78W
1879-09-01,13.194,2.123,Antofagasta,Chile,23.31S,70.78W
1879-10-01,13.94,1.207,Antofagasta,Chile,23.31S,70.78W
1879-11-01,15.439,1.1540000000000001,Antofagasta,Chile,23.31S,70.78W
1879-12-01,16.609,1.371,Antofagasta,Chile,23.31S,70.78W
1880-01-01,18.293,1.219,Antofagasta,Chile,23.31S,70.78W
1880-02-01,18.713,1.015,Antofagasta,Chile,23.31S,70.78W
1880-03-01,17.499000000000002,1.824,Antofagasta,Chile,23.31S,70.78W
1880-04-01,16.002,1.758,Antofagasta,Chile,23.31S,70.78W
1880-05-01,15.907,1.071,Antofagasta,Chile,23.31S,70.78W
1880-06-01,16.232,1.3940000000000001,Antofagasta,Chile,23.31S,70.78W
1880-07-01,15.157,1.213,Antofagasta,Chile,23.31S,70.78W
1880-08-01,14.769,1.3780000000000001,Antofagasta,Chile,23.31S,70.78W
1880-09-01,11.599,1.9409999999999998,Antofagasta,Chile,23.31S,70.78W
1880-10-01,12.981,1.065,Antofagasta,Chile,23.31S,70.78W
1880-11-01,14.370999999999999,1.9180000000000001,Antofagasta,Chile,23.31S,70.78W
1880-12-01,16.180999999999997,1.216,Antofagasta,Chile,23.31S,70.78W
1881-01-01,17.619999999999994,1.1520000000000001,Antofagasta,Chile,23.31S,70.78W
1881-02-01,18.405,1.05,Antofagasta,Chile,23.31S,70.78W
1881-03-01,17.336000000000002,1.935,Antofagasta,Chile,23.31S,70.78W
1881-04-01,16.287,2.423,Antofagasta,Chile,23.31S,70.78W
1881-05-01,16.059,1.104,Antofagasta,Chile,23.31S,70.78W
1881-06-01,14.731,1.324,Antofagasta,Chile,23.31S,70.78W
1881-07-01,13.245,1.3530000000000002,Antofagasta,Chile,23.31S,70.78W
1881-08-01,13.078,1.206,Antofagasta,Chile,23.31S,70.78W
1881-09-01,14.925,1.86,Antofagasta,Chile,23.31S,70.78W
1881-10-01,13.469000000000001,0.965,Antofagasta,Chile,23.31S,70.78W
1881-11-01,14.04,0.922,Antofagasta,Chile,23.31S,70.78W
1881-12-01,17.956,1.429,Antofagasta,Chile,23.31S,70.78W
1882-01-01,18.529,1.275,Antofagasta,Chile,23.31S,70.78W
1882-02-01,18.928,1.205,Antofagasta,Chile,23.31S,70.78W
1882-03-01,18.0,1.383,Antofagasta,Chile,23.31S,70.78W
1882-04-01,15.163,1.072,Antofagasta,Chile,23.31S,70.78W
1882-05-01,15.585,1.3130000000000002,Antofagasta,Chile,23.31S,70.78W
1882-06-01,14.050999999999998,1.208,Antofagasta,Chile,23.31S,70.78W
1882-07-01,13.303999999999998,1.558,Antofagasta,Chile,23.31S,70.78W
1882-08-01,14.422,1.41,Antofagasta,Chile,23.31S,70.78W
1882-09-01,14.339,1.663,Antofagasta,Chile,23.31S,70.78W
1882-10-01,14.091,1.067,Antofagasta,Chile,23.31S,70.78W
1882-11-01,14.245,1.883,Antofagasta,Chile,23.31S,70.78W
1882-12-01,15.151000000000002,1.08,Antofagasta,Chile,23.31S,70.78W
1883-01-01,18.225,1.5019999999999998,Antofagasta,Chile,23.31S,70.78W
1883-02-01,18.332,1.181,Antofagasta,Chile,23.31S,70.78W
1883-03-01,18.044,1.166,Antofagasta,Chile,23.31S,70.78W
1883-04-01,15.328,1.341,Antofagasta,Chile,23.31S,70.78W
1883-05-01,15.672,2.001,Antofagasta,Chile,23.31S,70.78W
1883-06-01,14.710999999999999,1.4280000000000002,Antofagasta,Chile,23.31S,70.78W
1883-07-01,13.393999999999998,1.3130000000000002,Antofagasta,Chile,23.31S,70.78W
1883-08-01,13.005999999999998,1.34,Antofagasta,Chile,23.31S,70.78W
1883-09-01,13.279000000000002,1.3869999999999998,Antofagasta,Chile,23.31S,70.78W
1883-10-01,14.202,1.484,Antofagasta,Chile,23.31S,70.78W
1883-11-01,14.481000000000002,1.315,Antofagasta,Chile,23.31S,70.78W
1883-12-01,16.422,1.253,Antofagasta,Chile,23.31S,70.78W
1884-01-01,18.583,1.784,Antofagasta,Chile,23.31S,70.78W
1884-02-01,18.602,0.987,Antofagasta,Chile,23.31S,70.78W
1884-03-01,17.863000000000003,1.2590000000000001,Antofagasta,Chile,23.31S,70.78W
1884-04-01,16.044,1.177,Antofagasta,Chile,23.31S,70.78W
1884-05-01,13.892000000000001,1.432,Antofagasta,Chile,23.31S,70.78W
1884-06-01,13.035,1.189,Antofagasta,Chile,23.31S,70.78W
1884-07-01,13.977,1.4,Antofagasta,Chile,23.31S,70.78W
1884-08-01,16.080000000000002,1.3019999999999998,Antofagasta,Chile,23.31S,70.78W
1884-09-01,13.001,0.94,Antofagasta,Chile,23.31S,70.78W
1884-10-01,12.700999999999999,1.421,Antofagasta,Chile,23.31S,70.78W
1884-11-01,14.315999999999999,1.462,Antofagasta,Chile,23.31S,70.78W
1884-12-01,15.679000000000002,1.5830000000000002,Antofagasta,Chile,23.31S,70.78W
1885-01-01,17.320999999999998,1.135,Antofagasta,Chile,23.31S,70.78W
1885-02-01,18.059,1.2229999999999999,Antofagasta,Chile,23.31S,70.78W
1885-03-01,17.114,1.0590000000000002,Antofagasta,Chile,23.31S,70.78W
1885-04-01,14.672,1.077,Antofagasta,Chile,23.31S,70.78W
1885-05-01,14.181,1.32,Antofagasta,Chile,23.31S,70.78W
1885-06-01,13.737,1.319,Antofagasta,Chile,23.31S,70.78W
1885-07-01,13.324000000000002,1.0859999999999999,Antofagasta,Chile,23.31S,70.78W
